subject,trial,choice,reward
106,64,0,0
106,65,0,1
106,66,0,1
106,67,0,0
106,68,0,1
106,69,0,1
106,70,0,1
106,71,0,0
106,72,0,0
106,73,0,1
106,74,0,0
106,75,1,1
106,76,1,1
106,77,1,0
106,78,1,1
106,79,1,1
106,80,1,1
106,81,1,1
106,82,1,1
106,83,1,1
106,84,1,0
106,85,1,1
106,86,1,0
106,87,1,1
106,88,1,0
106,89,0,1
106,90,0,1
106,91,0,0
106,92,0,1
106,93,0,1
106,94,0,1
106,95,0,1
106,96,0,0
106,97,1,0
106,98,1,0
106,99,0,1
106,100,0,1
106,101,0,1
106,102,0,1
106,103,0,0
106,104,0,1
106,105,0,1
106,106,0,1
106,107,0,0
106,108,0,0
106,109,1,1
106,110,1,1
106,111,1,0
106,112,1,1
106,113,1,1
106,114,1,1
106,115,1,1
106,116,1,1
106,117,1,1
106,118,1,1
106,119,1,0
106,120,0,0
106,121,0,1
106,122,0,0
106,123,0,0
106,124,1,1
106,125,1,1
106,126,1,1
106,127,1,0
106,128,1,1
106,129,1,1
106,130,1,1
106,131,1,0
106,132,1,1
106,133,0,0
106,134,1,1
106,135,0,0
106,136,1,0
106,137,0,0
106,138,1,1
106,139,1,1
106,140,1,1
107,1,0,0
107,2,0,1
107,3,0,1
107,4,0,1
107,5,0,1
107,6,0,1
107,7,0,1
107,8,0,1
107,9,0,1
107,10,0,0
107,11,0,1
107,12,0,1
107,13,0,1
107,14,0,0
107,15,0,1
107,16,0,0
107,17,1,0
107,18,1,0
107,19,0,1
107,20,0,1
107,21,0,1
107,22,0,0
107,23,0,1
107,24,0,1
107,25,0,1
107,26,0,1
107,27,0,1
107,28,0,1
107,29,0,1
107,30,0,0
107,31,0,0
107,32,1,0
107,33,1,0
107,34,0,1
107,35,0,1
107,36,0,0
107,37,0,0
107,38,0,1
107,39,0,0
107,40,1,1
107,41,1,1
107,42,1,1
107,43,1,1
107,44,1,0
107,45,1,1
107,46,1,1
107,47,1,1
107,48,1,0
107,49,1,1
107,50,1,1
107,51,1,1
107,52,1,1
107,53,1,1
107,54,1,0
107,55,1,1
107,56,1,0
107,57,1,1
107,58,1,0
107,59,1,0
107,60,1,0
107,61,0,1
107,62,0,1
107,63,0,1
107,64,0,1
107,65,0,0
107,66,0,1
107,67,0,0
107,68,0,1
107,69,0,1
107,70,0,1
107,71,0,0
107,72,0,1
107,73,0,0
107,74,0,0
107,75,0,0
107,76,1,1
107,77,1,1
107,78,1,0
107,79,1,1
107,80,1,1
107,81,1,1
107,82,1,1
107,83,1,0
107,84,1,1
107,85,1,1
107,86,1,0
107,87,1,0
107,88,0,1
107,89,0,0
107,90,0,1
107,91,0,1
107,92,0,1
107,93,0,0
107,94,0,1
107,95,0,1
107,96,0,1
107,97,0,1
107,98,0,1
107,99,0,0
107,100,0,1
107,101,0,0
107,102,0,1
107,103,0,1
107,104,0,1
107,105,0,1
107,106,0,0
107,107,0,0
107,108,1,0
107,109,1,1
107,110,1,1
107,111,1,0
107,112,1,1
107,113,1,1
107,114,1,1
107,115,1,1
107,116,1,1
107,117,1,0
107,118,1,1
107,119,1,1
107,120,1,1
107,121,1,1
107,122,1,1
107,123,1,1
107,124,1,1
107,125,1,0
107,126,1,1
107,127,1,1
107,128,1,1
107,129,1,1
107,130,1,0
107,131,1,0
107,132,0,0
107,133,0,0
107,134,0,0
107,135,1,1
107,136,1,1
107,137,1,1
107,138,1,1
107,139,1,0
107,140,1,1
